area	check	state	evidence
language	programming_language_julia_only	PASS_STATIC	Project.toml_and_all_executable_sources_are_jl
independence	started_from_zero	PASS_RECORDED	DEVELOPMENT_STAGE_started_from_zero_yes
independence	cross_implementation_artifacts	PASS_RECORDED	DEVELOPMENT_STAGE_cross_artifacts_no
production	oracle_not_included	PASS_STATIC	src_main_includes_catalog_and_bootstrap_only
production	future_patch_code_absent	PASS_STATIC	no_stage_02_53_legacy_patch_markers_in_src
production	neutral_monster_shell_only	PASS_STATIC	MonsterContext_dispatch_validation_metrics_only
state	invocation_context_local	PASS_STATIC	calendarDateSpaghetti_constructs_new_context_each_call
state	observability_nonsemantic	PASS_STATIC	metrics_not_read_by_semantic_decisions
arithmetic	M_exact_bigint	PASS_STATIC	BigInt_2_pow_127_minus_1
arithmetic	no_normative_float	PASS_STATIC	no_Float_usage_in_oracle
arithmetic	SAVE_euclidean_1_to_M	PASS_STATIC	one_plus_mod_x_minus_one
counts	day_count_foundation_parity	PASS_STATIC	direct_branch_formula_matches_appendix_A
counts	distance_chronological_plus_one	PASS_STATIC	abs_target_minus_calculation_plus_one
stones	all_five_from_same_snapshot	PASS_STATIC	old_tuple_read_before_new_tuple_assignment
hidden	seven_hidden_coefficients	PASS_STATIC	seven_rows_match_appendix_A
hidden	seven_grinds	PASS_STATIC	loop_1_to_7_with_required_stones
visible	predecessors_1_3_7	PASS_STATIC	timeline_indices_i_minus_1_3_7
visible	eleven_grinds	PASS_STATIC	VISIBLE_GRINDS_11_rows_and_loop
bowls	permutation_1_based_lexicographic	PASS_STATIC	factoradic_unrank_rank1_minus_1
bowls	pours_follow_positions_1_2_3	PASS_STATIC	order_positions_map_to_bowl_ids
bowls	simultaneous_round_snapshot	PASS_STATIC	old_copy_and_nextBowls_commit_after_six
bowls	order_at_drop_46_latched	PASS_STATIC	copy_order_only_when_i_46
poststir	twelve_stirs	PASS_STATIC	loop_1_to_12
poststir	saved_sum_reading_1A	PASS_STATIC	SAVE_sum_old_plus_149_times_stir
query	next_bowl_uses_drop_46_order	PASS_STATIC	index_in_orderAtDrop46_then_wrap
query	direction_fixed_per_query	PASS_STATIC	AnswerStream_stores_single_directionStep
selection	short_rejection_same_ring	PASS_STATIC	answerAt_stream_k_increment
selection	wide_digits_then_same_wide_ring	PASS_STATIC	wide_constructed_once_then_plus_minus_one_wrap
names	partial_permutation_distinct_indices	PASS_STATIC	delete_selected_remaining_index
compositions	bounded_exact_DP	PASS_STATIC	BigInt_memo_count_and_lexicographic_unrank
gates	positive_and_negative_questions	PASS_STATIC	FOUNDATION_plus_n_and_FOUNDATION_minus_n
gates	strictly_monotonic_cache	PASS_STATIC	positive_gaps_42_to_963_added_subtracted
always	gate_search_no_float	PASS_STATIC	integer_fld_midpoint
years	max_5778	PASS_STATIC	YEAR_MAX_DAYS_5778_and_validYearPair_filter
years	year5000_interval	PASS_STATIC	open_less_than_calculation_less_equal_close
years	year5000_tie_order	PASS_STATIC	sort_by_length_then_open_gate_day
years	next_previous_selection	PASS_STATIC	transition_gate_sauce_and_seals_11_12
years	sequential_walk	PASS_STATIC	while_nextYear_and_previousYear_only
cutlets	count_6_to_17_gate_bounded	PASS_STATIC	candidate_comprehension
cutlets	internal_calculation_gate_boundary	PASS_STATIC	required_boundary_exact_gate_and_filtered_DP
cutlets	materialization_open_closed_days	PASS_STATIC	first_open_plus_1_last_close
months	month_count_bounds	PASS_STATIC	ceil_L_123_to_min_47_floor_L_4
months	month_length_exact_virtual_DP	PASS_STATIC	bounded_composition_counter_and_unrank
weaving	whole_weaving_DP	PASS_STATIC	state_remaining_opened_closed_and_full_unrank
weaving	lexicographic_month_id_order	PASS_STATIC	candidate_j_eachindex_ascending
structure	single_structure_sauce_first_day	PASS_STATIC	sauce_calculation_day_year_open_plus_1_once
final	exactly_five_canonical_fields	PASS_STATIC	calendarDateCanonical_tuple_5
final	day_in_month_occurrence_count	PASS_STATIC	count_month_id_prefix_including_target
catalog	canonical_indices_stable	PASS_STATIC	17_and_47_entries_in_index_order
catalog	canonical_mapping_tests_17_plus_47	PASS_STATIC	test_runtests_contains_explicit_exact_mapping_for_every_catalog_entry
catalog	unicode_nfc_all_64	PASS_STATIC	all_64_catalog_strings_verified_NFC_and_sensitive_codepoints_checked
catalog	localized_text_not_semantic	PASS_STATIC	oracle_uses_name_indices_and_resolvers_only_at_final_calendarDate
catalog	new_ithkuil_realization	PASS_STATIC	64_of_64_full_mapping_audited_against_official_New_Ithkuil_sources
catalog	catalog_frozen	PENDING_RUNTIME_PASS	64_of_64_static_complete_but_freeze_forbidden_until_real_Julia_PASS
prose	human_authored_new_ithkuil	PASS_STATIC	user_facing_commit_and_github_strings_are_minimal_New_Ithkuil_formatives;other_status_records_are_machine_readable
runtime	julia_tests_executed	PENDING	julia_runtime_unavailable_in_current_environment
